,image.value,itemLabel.value,lat.value,lon.value
47,http://commons.wikimedia.org/wiki/Special:FilePath/Rektorat%20UMK%20w%20Toruniu2018.jpg,Miasteczko akademickie w Toruniu,53.0199,18.57474
48,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84.%20Pa%C5%82ac%20D%C4%85mskich%201.jpg,Pałac Dąmbskich,53.008333333,18.606388888
49,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20%28DerHexer%29%202010-07-17%20026.jpg,Planetarium im. Władysława Dziewulskiego w Toruniu,53.011384,18.602352
50,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20-%20Poczta%20G%C5%82%C3%B3wna%2001.jpg,Poczta Główna w Toruniu,53.0105,18.6034
51,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20fort%20Bramy%20Lubickiej%2C%20ul.%20Ch%C5%82opickiego%201-7%20%281%29.JPG,Schron koszarowy,53.014389,18.620917
52,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,Przedmoście dolne (2 reduty),53.002444,18.6185
53,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20Kociewska%2022a%20%28OLA%20Z.%29.JPG,Schron piechoty nr J-7 wraz z nasypem ziemnym,53.038417,18.636306
54,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,Schron koszarowy Hangar Wschodni,53.001028,18.623889
55,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20gen.%20J.%20D%C4%85browskigo%206%20%281%29%20%28OLA%20Z.%29.JPG,Magazyn schronowy z piekarnią i wytwórnia lodu,53.015333,18.611389
56,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20gen.%20J.%20D%C4%85browskigo%206%20%282%29%20%28OLA%20Z.%29.JPG,Magazyn furażu,53.014917,18.611722
57,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,Ogrodzenie zespołu,53.01475,18.6105
58,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20%28DerHexer%29%202010-07-17%20026.jpg,Zbiornik gazowy,53.011409,18.602665
59,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20Planetarium.jpg,Zbiornik gazowy,53.011409,18.602665
60,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,Ogrodzenie we fragmencie północno-zachodnim,53.011389,18.601778
61,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20Mickiewicza%2015-17%20%28OLA%20Z.%29.JPG,Sala gimnastyczna d. Gimnazjum Królewskiego z urządzeniami do ćwiczeń,53.011333,18.59175
62,http://commons.wikimedia.org/wiki/Special:FilePath/Torun%20Rynek%20Nowomiejski%20pierzeja%20pn-zach.jpg,Pierzeje Rynku Nowomiejskiego oraz fasady budynków narożnych z Rynkiem,53.011806,18.61125
63,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20Zaszpitalna%202%2C%204%20%28OLA%20Z.%29.JPG,Lazaret,53.01325,18.610083
64,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%2C%20ul.%20D%C4%85browskiego%201.JPG,Blok chorych,53.014083,18.611222
65,http://commons.wikimedia.org/wiki/Special:FilePath/Bank%20Toru%C5%84.jpg,Budynek banku BGŻ BNP Paribas w Toruniu,53.012333,18.601389
66,http://commons.wikimedia.org/wiki/Special:FilePath/Toru%C5%84%20Bank%20Rolny.jpg,Budynek banku BGŻ BNP Paribas w Toruniu,53.012333,18.601389
67,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,hotel asystencki nr 1 w Toruniu,53.0194,18.5822
68,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,hotel asystencki nr 2 w Toruniu,53.0198,18.5819
69,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,dzielnica terenów zamkowych w Toruniu,53.00942,18.61114
70,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1024px-No_image_available.svg.png,"stołówka studencka, ob. Wydział Teologii w Toruniu",53.01895,18.57944
